timestamp,temperature,humidity,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,shortwave_radiation,direct_radiation,diffuse_radiation,precipitation,wind_speed
2026-05-01 00:00:00,19.9,78,100,100,0,0,0.0,0.0,0.0,0.0,6.3
2026-05-01 01:00:00,19.8,79,100,100,0,11,0.0,0.0,0.0,0.0,6.1
2026-05-01 02:00:00,19.9,82,100,100,0,99,0.0,0.0,0.0,0.0,7.3
2026-05-01 03:00:00,20.0,83,100,100,0,100,0.0,0.0,0.0,0.0,6.6
2026-05-01 04:00:00,19.7,82,100,100,0,95,0.0,0.0,0.0,0.0,7.1
2026-05-01 05:00:00,19.3,81,100,100,0,91,0.0,0.0,0.0,0.0,7.1
2026-05-01 06:00:00,19.0,81,100,96,0,94,0.0,0.0,0.0,0.0,6.0
2026-05-01 07:00:00,19.3,79,100,100,0,3,32.0,5.0,27.0,0.0,5.9
2026-05-01 08:00:00,19.8,76,2,0,0,2,169.0,57.0,112.0,0.0,6.3
2026-05-01 09:00:00,21.2,72,2,0,0,2,457.0,332.0,125.0,0.0,5.9
2026-05-01 10:00:00,22.7,67,0,0,0,0,659.0,514.0,145.0,0.0,5.8
2026-05-01 11:00:00,24.1,64,14,0,0,14,815.0,658.0,157.0,0.0,5.6
2026-05-01 12:00:00,25.7,61,100,100,0,2,916.0,753.0,163.0,0.0,6.2
2026-05-01 13:00:00,25.7,61,100,100,0,0,579.0,226.0,353.0,0.0,6.0
2026-05-01 14:00:00,26.0,61,96,96,0,0,622.0,202.0,420.0,0.0,7.3
2026-05-01 15:00:00,26.8,58,86,40,4,77,537.0,228.0,309.0,0.0,6.2
2026-05-01 16:00:00,26.9,57,97,41,30,95,366.0,123.0,243.0,0.0,6.4
2026-05-01 17:00:00,26.6,61,99,62,38,98,254.0,72.0,182.0,0.0,8.3
2026-05-01 18:00:00,25.4,71,95,3,16,93,170.0,80.0,90.0,0.0,11.5
2026-05-01 19:00:00,23.7,81,0,0,0,0,33.0,9.0,24.0,0.0,11.6
2026-05-01 20:00:00,23.3,86,16,6,0,10,0.0,0.0,0.0,0.0,11.5
2026-05-01 21:00:00,23.1,87,4,3,1,0,0.0,0.0,0.0,0.0,10.7
2026-05-01 22:00:00,22.8,90,4,0,4,0,0.0,0.0,0.0,0.0,11.9
2026-05-01 23:00:00,22.5,91,27,2,2,24,0.0,0.0,0.0,0.0,12.3
2026-05-02 00:00:00,22.1,93,89,13,28,84,0.0,0.0,0.0,0.0,9.3
2026-05-02 01:00:00,21.8,94,100,19,30,100,0.0,0.0,0.0,0.0,5.5
2026-05-02 02:00:00,22.0,96,100,25,14,100,0.0,0.0,0.0,0.0,3.4
2026-05-02 03:00:00,22.2,95,100,26,13,100,0.0,0.0,0.0,0.0,5.7
2026-05-02 04:00:00,22.1,95,93,13,0,92,0.0,0.0,0.0,0.0,7.9
2026-05-02 05:00:00,21.8,95,100,25,27,99,0.0,0.0,0.0,0.0,8.1
2026-05-02 06:00:00,22.0,94,100,30,5,100,0.0,0.0,0.0,0.0,7.9
2026-05-02 07:00:00,22.9,91,97,25,0,96,51.0,12.0,39.0,0.0,11.9
2026-05-02 08:00:00,23.8,89,100,100,10,2,199.0,86.0,113.0,0.0,7.7
2026-05-02 09:00:00,24.9,83,99,98,16,66,252.0,81.0,171.0,0.1,14.2
2026-05-02 10:00:00,26.5,79,85,72,18,35,433.0,183.0,250.0,0.1,13.9
2026-05-02 11:00:00,27.5,74,70,53,38,6,449.0,143.0,306.0,0.2,14.1
2026-05-02 12:00:00,28.5,69,38,24,19,0,645.0,346.0,299.0,0.3,15.6
2026-05-02 13:00:00,29.6,65,27,14,16,0,739.0,482.0,257.0,0.2,16.1
2026-05-02 14:00:00,30.2,59,32,14,20,5,774.0,536.0,238.0,0.1,15.8
2026-05-02 15:00:00,30.4,58,99,19,16,98,683.0,498.0,185.0,0.1,16.6
2026-05-02 16:00:00,29.7,59,100,38,36,100,388.0,173.0,215.0,0.0,15.2
